TLID,NAME,LENGTH
62045203,62045203b,595.24253
62045231,62045231b,27.57672
62088350,62088350a,236.48959
62104474,62104474a,206.24306
62104475,62104475a,351.5432
62104951,62104951b,274.66011
62045227,62045227b,234.98687
62045228,62045228a,847.27741
62045231,62045231a,27.57672
62057285,62057285a,128.50201
62057287,62057287b,41.15806
62057131,62057131a,150.30163
62057138,62057138a,88.80797
62057140,62057140b,227.91571
62051615,62051615a,135.835
62051627,62051627a,130.11253
62051629,62051629b,228.00568
62051535,62051535b,95.63321
62051543,62051543a,46.53105
62055993,62055993b,184.68806
62077697,62077697b,131.9061
62057136,62057136a,56.52265
62057137,62057137a,206.90719
62057138,62057138b,88.80797
62057139,62057139b,89.43264
62054543,62054543a,110.89252
62054546,62054546b,193.41764
62056000,62056000b,123.18418
62091353,62091353a,128.79912
62075003,62075003b,311.48641
62048033,62048033b,38.3893
62088622,62088622b,337.70643
62104474,62104474b,206.24306
62045186,62045186a,154.38279
62104784,62104784b,1305.76253
62045237,62045237b,101.47882
62043314,62043314b,68.04569
62043447,62043447a,884.62289
62045230,62045230a,294.99783
62045049,62045049a,476.49678
62045052,62045052a,188.90725
62104771,62104771a,155.75868
62045238,62045238b,69.72589
62104786,62104786a,498.71999
62045052,62045052b,188.90725
62075003,62075003a,311.48641
62057110,62057110b,48.67005
62080192,62080192a,86.56117
62080195,62080195b,463.22671
62092248,62092248a,86.39618
62092313,62092313a,44.29042
62051613,62051613b,95.30429
62051614,62051614a,456.62927
62052031,62052031b,261.57842
62051602,62051602b,90.01986
62051606,62051606a,199.85948
62051608,62051608a,173.09101
62045236,62045236b,279.21401
62045237,62045237a,101.47882
62045238,62045238a,69.72589
62088350,62088350b,236.48959
62045347,62045347b,77.20391
62045348,62045348a,212.1062
62045349,62045349b,330.85103
62077696,62077696b,175.48077
62077698,62077698a,135.08868
62083747,62083747a,72.90562
62105176,62105176b,60.61279
62053339,62053339a,210.29321
62053354,62053354a,123.33339
62053355,62053355b,124.84145
62053356,62053356b,121.12321
62051867,62051867a,96.91504
62081589,62081589b,21.20578
62053366,62053366a,44.66151
62053370,62053370a,241.58968
62093232,62093232b,152.99347
62101392,62101392b,206.14885
62043212,62043212a,571.82954
62043314,62043314a,68.04569
62098491,62098491b,1938.57765
62064960,62064960a,118.15656
62064962,62064962b,140.79183
62064963,62064963a,79.44253
62045355,62045355b,330.13845
62064506,62064506a,153.67912
62064507,62064507b,150.66309
62064622,62064622b,229.88918
62064944,62064944b,47.66188
62080759,62080759b,452.32462
62045186,62045186b,154.38279
62045189,62045189a,425.30034
62045190,62045190a,907.12645
62079468,62079468b,893.64198
62080721,62080721a,2299.5152
62080722,62080722a,428.06988
62071931,62071931b,44.58239
62099120,62099120b,85.17627
62099121,62099121a,68.20033
62094546,62094546b,833.58004
62104771,62104771b,155.75868
62083593,62083593b,201.28599
62089714,62089714b,288.27838
62098102,62098102a,293.51549
62048039,62048039b,1052.03227
62104952,62104952a,298.47354
62071926,62071926a,51.16045
62071927,62071927a,123.25508
62071964,62071964b,385.64695
62045326,62045326b,328.69304
62104477,62104477b,189.54482
62106293,62106293b,310.92604
62064994,62064994a,130.37647
62065008,62065008a,90.48169
62065010,62065010b,79.61431
62065011,62065011b,106.2678
62078053,62078053b,93.89873
62045351,62045351b,201.64227
62045357,62045357a,135.97013
62104477,62104477a,189.54482
62052182,62052182a,202.42315
62051524,62051524a,125.47926
62051536,62051536b,88.73538
62051537,62051537b,28.13848
62053345,62053345a,150.7991
62053349,62053349a,103.22725
62053354,62053354b,123.33339
62048023,62048023b,1629.92902
62048033,62048033a,38.3893
62088623,62088623a,424.09532
62051870,62051870b,171.7364
62078771,62078771a,124.01929
62078772,62078772a,115.29277
62101647,62101647b,226.438
62101642,62101642a,156.76584
62105277,62105277b,298.92654
62101642,62101642b,156.76584
62101645,62101645a,226.56779
62105275,62105275a,410.22874
62051540,62051540a,104.07616
62051542,62051542b,89.98474
62075893,62075893b,25.75406
62051539,62051539b,59.29946
62075893,62075893a,25.75406
62077588,62077588a,99.94471
62051530,62051530b,89.98334
62080193,62080193b,63.50646
62078772,62078772b,115.29277
62092313,62092313b,44.29042
62096618,62096618a,269.13549
62080193,62080193a,63.50646
62080194,62080194a,253.16884
62080199,62080199b,191.48717
62104534,62104534b,68.08426
62053026,62053026b,61.27277
62053030,62053030a,237.13671
62053032,62053032a,70.36712
62080192,62080192b,86.56117
62080199,62080199a,191.48717
62080200,62080200a,473.18184
62092249,62092249a,18.16642
62105101,62105101b,77.73147
62054545,62054545b,77.94262
62054272,62054272b,37.535
62088984,62088984a,103.23041
62105268,62105268b,244.79851
62054277,62054277b,25.97084
62054279,62054279a,64.53777
62054281,62054281b,137.15832
62057041,62057041a,166.74063
62057046,62057046a,208.16991
62057052,62057052b,145.52306
62076642,62076642b,177.35548
62051634,62051634b,55.33926
62076234,62076234b,30.06127
62081589,62081589a,21.20578
62083719,62083719b,38.87133
62054179,62054179a,121.61002
62054183,62054183a,76.83832
62054184,62054184b,104.08444
62099815,62099815b,18.35997
62068709,62068709a,177.21702
62068716,62068716a,197.15096
62068717,62068717a,48.06596
62068718,62068718a,153.80708
62079554,62079554b,101.69278
62063392,62063392b,68.31255
62068210,62068210a,61.7304
62068213,62068213b,163.91095
62068218,62068218b,95.93473
62068700,62068700a,154.35732
62068705,62068705a,136.73783
62068707,62068707b,136.34392
62068708,62068708b,109.2873
62068045,62068045a,121.58799
62068064,62068064b,104.11675
62068065,62068065a,160.08829
62068320,62068320b,325.00306
62068066,62068066b,140.40359
62068186,62068186a,88.78555
62068197,62068197a,112.35388
62068198,62068198b,146.00982
62065013,62065013a,114.01036
62068007,62068007b,150.15299
62068008,62068008b,113.01479
62094215,62094215b,122.33621
62064953,62064953a,68.34615
62064955,62064955b,92.5302
62064956,62064956b,146.27619
62064978,62064978a,78.7273
62065005,62065005a,285.3404
62065007,62065007b,72.75136
62053377,62053377b,163.98608
62053434,62053434a,35.59873
62076491,62076491b,234.80684
62057053,62057053b,156.89518
62076642,62076642a,177.35548
62105353,62105353b,155.73257
62053433,62053433b,92.52578
62071925,62071925b,105.65745
62071928,62071928a,65.00293
62063237,62063237b,100.81708
62068233,62068233a,286.75794
62068245,62068245b,75.08182
62068246,62068246b,300.55304
62068247,62068247a,79.45295
62078563,62078563a,223.79272
62078565,62078565b,165.07158
62090060,62090060a,250.18604
62071924,62071924a,97.24297
62071925,62071925a,105.65745
62071926,62071926b,51.16045
62071923,62071923a,181.79821
62071928,62071928b,65.00293
62071930,62071930b,97.25539
62064608,62064608a,148.83568
62064619,62064619a,116.85159
62077028,62077028b,110.15315
62089325,62089325b,84.42319
62105485,62105485a,84.4737
62064585,62064585a,515.58959
62064587,62064587a,358.84109
62099121,62099121b,68.20033
62064610,62064610a,194.13458
62064611,62064611b,212.5142
62064613,62064613b,87.27599
62057063,62057063a,111.34765
62057098,62057098a,199.22726
62057108,62057108b,123.33401
62057039,62057039a,322.39585
62057041,62057041b,166.74063
62057366,62057366b,164.93722
62054268,62054268a,47.66045
62054271,62054271b,64.53689
62054272,62054272a,37.535
62054275,62054275a,129.0733
62057054,62057054a,66.60615
62057056,62057056a,194.24927
62057057,62057057b,78.18844
62057053,62057053a,156.89518
62057054,62057054b,66.60615
62057055,62057055b,129.92663
62068005,62068005a,257.22917
62068017,62068017a,111.01036
62068021,62068021a,143.47258
62068051,62068051b,34.17746
62068052,62068052b,116.31936
62098103,62098103b,74.6176
62068006,62068006b,187.29765
62068015,62068015a,88.80832
62068016,62068016b,78.18846
62068006,62068006a,187.29765
62068017,62068017b,111.01036
62068018,62068018a,23.83166
62064841,62064841a,168.53026
62064942,62064942a,102.51725
62064943,62064943b,173.85995
62064945,62064945b,102.85287
62068009,62068009a,168.53059
62068012,62068012a,369.22821
62068014,62068014b,131.79844
62068015,62068015b,88.80832
62068019,62068019b,121.84705
62068191,62068191a,56.51703
62068197,62068197b,112.35388
62068199,62068199a,134.22394
62068239,62068239a,100.2839
62068240,62068240a,173.61715
62068481,62068481b,332.17768
62078049,62078049b,54.9885
62068054,62068054b,61.32321
62068055,62068055a,195.74266
62082190,62082190b,146.13162
62076665,62076665a,36.50953
62083719,62083719a,38.87133
62105361,62105361b,148.10353
62054251,62054251b,106.3477
62076444,62076444a,87.77804
62054255,62054255a,169.41255
62054256,62054256b,110.16208
62054257,62054257b,219.90713
62051859,62051859b,201.65332
62074885,62074885b,57.8994
62090736,62090736a,246.63051
62093318,62093318b,215.14148
62088952,62088952b,137.22654
62053426,62053426b,222.45971
62076386,62076386a,104.53068
62051539,62051539a,59.29946
62053435,62053435a,77.70844
62053368,62053368b,110.01139
62053375,62053375b,160.28685
62053378,62053378a,145.02507
62053443,62053443b,97.73969
62053435,62053435b,77.70844
62053437,62053437b,17.30589
62053438,62053438a,60.57063
62064809,62064809a,92.7647
62064810,62064810b,193.78689
62065028,62065028b,272.17647
62068016,62068016a,78.18846
62068018,62068018b,23.83166
62068020,62068020a,210.34393
62071956,62071956a,233.1295
62071958,62071958a,38.20104
62071959,62071959a,34.57638
62089736,62089736b,207.81449
62064600,62064600a,123.40227
62064611,62064611a,212.5142
62064612,62064612b,92.75462
62071956,62071956b,233.1295
62064831,62064831a,79.43984
62064835,62064835b,273.55671
62064837,62064837a,84.74539
62064838,62064838b,62.01638
62098102,62098102b,293.51549
62098103,62098103a,74.6176
62098104,62098104a,94.25347
62068245,62068245a,75.08182
62068665,62068665a,112.62726
62068683,62068683b,61.28892
62068684,62068684b,211.75931
62071958,62071958b,38.20104
62071960,62071960b,65.73196
62077329,62077329a,170.56452
62093993,62093993b,201.09506
62093994,62093994a,253.42244
62105177,62105177b,570.23197
62057130,62057130a,37.06988
62057136,62057136b,56.52265
62057057,62057057a,78.18844
62057062,62057062b,121.04425
62057063,62057063b,111.34765
62051823,62051823a,123.05947
62051833,62051833b,56.17612
62105176,62105176a,60.61279
62105193,62105193a,194.97709
62092249,62092249b,18.16642
62092277,62092277b,423.86338
62077708,62077708b,262.40544
62077710,62077710a,114.62398
62077711,62077711a,201.21877
62054496,62054496b,80.69074
62054267,62054267a,136.21161
62054267,62054267b,136.21161
62054268,62054268b,47.66045
62072633,62072633b,177.83008
62068683,62068683a,61.28892
62068685,62068685b,75.08205
62068686,62068686b,184.73394
62073449,62073449b,26.16406
62077414,62077414a,216.11792
62105731,62105731b,63.54541
62063417,62063417b,282.60864
62063429,62063429a,68.81891
62063432,62063432b,164.31732
62073617,62073617a,73.33117
62073861,62073861b,720.70205
62068053,62068053a,79.61469
62072713,62072713a,120.70318
62072715,62072715b,276.27137
62072716,62072716a,75.10474
62068189,62068189a,116.19394
62068199,62068199b,134.22394
62068200,62068200a,75.0798
62068201,62068201b,117.43229
62064946,62064946b,170.86441
62105485,62105485b,84.4737
62064962,62064962a,140.79183
62064973,62064973a,36.37422
62064999,62064999b,222.26189
62065000,62065000b,69.16405
62078662,62078662b,153.63927
62068228,62068228a,173.25958
62068238,62068238a,145.34938
62068239,62068239b,100.2839
62068243,62068243b,250.28483
62078952,62078952b,53.74453
62068704,62068704a,276.1591
62068717,62068717b,48.06596
62072631,62072631a,56.1764
62072632,62072632a,55.77799
62072633,62072633a,177.83008
62072634,62072634b,218.71533
62073459,62073459b,86.59542
62072704,62072704b,300.44073
62072758,62072758b,56.1765
62072770,62072770a,282.59199
62064505,62064505a,238.83782
62105715,62105715b,458.64341
62064827,62064827a,238.84157
62064840,62064840a,104.49782
62064841,62064841b,168.53026
62064843,62064843b,112.99659
62053434,62053434b,35.59873
62100287,62100287a,175.88182
62057295,62057295b,197.65954
62091353,62091353b,128.79912
62076230,62076230b,321.91286
62076234,62076234a,30.06127
62053432,62053432b,34.1586
62053433,62053433a,92.52578
62053437,62053437a,17.30589
62080453,62080453b,149.24648
62051522,62051522a,117.65116
62092236,62092236b,451.58429
62051611,62051611b,146.62956
62051613,62051613a,95.30429
62089999,62089999b,468.52782
62096606,62096606b,281.93735
62096608,62096608a,174.93419
62096609,62096609a,179.28276
62053025,62053025a,88.93364
62053026,62053026a,61.27277
62051631,62051631a,45.2392
62051632,62051632a,89.25438
62051633,62051633b,60.51402
62078054,62078054b,144.42827
62078055,62078055a,169.32016
62083765,62083765a,43.68769
62093997,62093997a,91.32329
62093999,62093999a,85.57554
62105173,62105173b,222.11749
62083594,62083594b,588.9947
62084568,62084568a,99.92866
62089713,62089713a,199.41921
62078051,62078051b,70.38737
62078052,62078052a,75.85793
62078053,62078053a,93.89873
62064616,62064616a,146.47237
62064617,62064617a,242.00045
62064618,62064618b,121.7091
62064955,62064955a,92.5302
62064960,62064960b,118.15656
62064961,62064961b,193.62144
62068676,62068676a,276.15129
62068695,62068695a,164.03244
62068697,62068697b,136.73651
62068698,62068698b,154.35689
62078233,62078233b,168.14531
62084568,62084568b,99.92866
62078052,62078052b,75.85793
62053351,62053351b,44.40492
62053355,62053355a,124.84145
62105244,62105244a,263.38062
62099815,62099815a,18.35997
62054175,62054175a,152.02534
62054176,62054176b,82.17014
62054177,62054177b,126.74409
62054182,62054182a,136.81802
62053351,62053351a,44.40492
62053352,62053352b,129.7776
62053353,62053353b,112.35277
62051815,62051815a,126.03448
62051824,62051824b,182.11874
62051825,62051825b,95.74943
62051833,62051833a,56.17612
62057273,62057273a,235.31422
62057274,62057274a,169.57979
62057275,62057275b,224.87115
62078566,62078566a,140.70062
62079887,62079887b,73.92698
62102225,62102225a,100.59053
62102233,62102233b,49.37322
62105345,62105345a,559.01929
